host,pattern
adelaide.edu.au,^http://www\.adelaide\.edu\.au/directory/[a-z.]+$
anu.edu.au,^http://biology\.anu\.edu\.au/people/[a-z-]+$
anu.edu.au,^https://researchers\.anu\.edu\.au/researchers/[a-z-]+$
berkeley.edu,^http://www\.ucmp\.berkeley\.edu/about/profile\.php?lastname=[A-Za-z.-]+&firstname=[A-Za-z.-]+$
bris.ac.uk,^http://www\.bris\.ac\.uk/[a-z]+/people/[A-Za-z0-9-]+/index\.html$
caltech.edu,^http://www\.its\.caltech\.edu/~[a-z.-]+/pubs\.html$
cam.ac.uk,^http://heliconius\.zoo\.cam\.ac\.uk/people/[a-Z-]+/$
cam.ac.uk,^http://www\.zoo\.cam\.ac\.uk/directory/[a-z-]+$
ed.ac.uk,^http://www\.research\.ed\.ac\.uk/portal/en/persons/[a-z0-9()-]+\.html$
harvard.edu,^http://arboretum\.harvard\.edu/people/[a-z-]+/$
helsinki.fi,^https://tuhat\.halvi\.helsinki\.fi/portal/en/persons/[a-z0-9()-]+\.html^
duke.edu,^http://[a-z.]\.duke\.edu/people/[a-z-]+$
imperial.ac.uk,^http://www\.imperial\.ac\.uk/people/[a-z.]+/publications\.html
imperial.ac.uk,^http://www\.imperial\.ac\.uk/people/[a-z.]+$
jcu.edu.au,^https://research\.jcu\.edu\.au/portfolio/[a-z.]+/$
manchester.ac.uk,^http://www\.manchester\.ac\.uk/research/[a-z.]+/publications$
monash.edu.au,^http://www\.monash\.edu\.au/research/people/profiles/profile.html?sid=[0-9]+&pid=[0-9]+$
sydney.edu.au,^http://sydney\.edu\.au/vetscience/about/staff/profiles/[v-z.]+\.php$
sydney.edu.au,^http://sydney\.edu\.au/science/people/[a-z.]+\.php$
ubc.ca,^http://profiles\.forestry\.ubc\.ca/person/[a-z-]+/$
unimelb.edu.au,^http://www\.findanexpert\.unimelb\.edu\.au/display/person[0-9]+$
uq.edu.au,^http://researchers\.uq\.edu\.au/researcher/[0-9]+$
uwa.edu.au,^https://www\.socrates\.uwa\.edu\.au/Staff/StaffProfile.aspx?Person=[A-Za-z]+$
wageningenur.nl,^https://www\.wageningenur\.nl/en/Persons/[A-Za-Z0-9.-]+\.htm$
